Flight Number,Origin,Destination,Expected Departure/Arrival,Special Request Code
AI 202,New Delhi (DEL),Singapore (SIN),10:00 AM,CFFT
LH 456,Frankfurt (FRA),Singapore (SIN),11:20 AM,
SQ 318,Manila (MNL),Singapore (SIN),1:00 PM,LWTT
MH 750,Kuala Lumpur (KUL),Singapore (SIN),2:15 PM,DDJB
JL 509,Tokyo (NRT),Singapore (SIN),4:00 PM,
CX 990,Singapore (SIN),Hong Kong (HKD),5:30 PM,CFFT
TR 672,Singapore (SIN),Bangkok (BKK),6:45 PM,LWTT
EK 456,Dubai (DXB),Singapore (SIN),8:25 PM,CFFT
BA 712,London (LHR),Singapore (SIN),9:30 PM,DDJB
QF 240,Sydney (SYD),Singapore (SIN),11:00 PM,
MH 533,Singapore (SIN),Jakarta (CGK),7:40 AM,CFFT
SQ 890,Tokyo (NRT),Singapore (SIN),8:25 AM,
JL 321,Singapore (SIN),Tokyo (NRT),10:00 AM,LWTT
CX 244,Singapore (SIN),Hong Kong (HKD),12:40 PM,CFFT
TR 126,Bangkok (BKK),Singapore (SIN),2:50 PM,
EK 752,Dubai (DXB),Singapore (SIN),5:30 PM,DDJB
QF 763,Sydney (SYD),Singapore (SIN),7:15 PM,CFFT
BA 998,London (LHR),Singapore (SIN),9:10 PM,LWTT
