Flight Number,Origin,Destination,Expected Departure/Arrival,Special Request Code
AF 143,Paris (CDG),Singapore (SIN),6:30 AM,LWTT
AI 409,New Delhi (DEL),Singapore (SIN),8:45 AM,CFFT
KL 872,Amsterdam (AMS),Singapore (SIN),10:00 AM,DDJB
QF 345,Sydney (SYD),Singapore (SIN),11:50 AM,CFFT
MH 181,Kuala Lumpur (KUL),Singapore (SIN),1:00 PM,
JL 723,Tokyo (NRT),Singapore (SIN),2:15 PM,LWTT
CX 812,Hong Kong (HKD),Singapore (SIN),3:40 PM,CFFT
TR 101,Bangkok (BKK),Singapore (SIN),4:55 PM,DDJB
EK 303,Dubai (DXB),Singapore (SIN),6:05 PM,CFFT
SQ 950,Manila (MNL),Singapore (SIN),7:20 PM,
BA 680,London (LHR),Singapore (SIN),8:30 PM,CFFT
MH 442,Singapore (SIN),Kuala Lumpur (KUL),9:10 PM,DDJB
QF 200,Sydney (SYD),Singapore (SIN),11:00 PM,
JL 350,Tokyo (NRT),Singapore (SIN),1:30 AM,LWTT
CX 225,Hong Kong (HKD),Singapore (SIN),3:00 AM,CFFT
TR 220,Singapore (SIN),Bangkok (BKK),4:30 AM,
EK 920,Dubai (DXB),Singapore (SIN),6:15 AM,LWTT
